Comments
>2
Good quality jacket true to size. Kept informed from order to delivery and arrived in good time.Lovely jacket have had lots of compliments. Would recommend.
"I love their products, they are beautiful, fast delivery and comfortable to wear"
Excellent service great quality clothes fast delivery and packaged with a touch of luxury.
"High quality, perfect garments at a very competitive price. Quick, efficient service. Thank you"
"Amazing brand, beautiful quality, and a price that makes the items feel quality, fire ????"
"Hasta Muerte hands down the best qualityproducts on the market. Products fit wonderfully and perfect for any occasion. I am 14 shirts in and still get compliments in public. Great brand not only for the amazing quality, but the excellent customer service!"
Awesome prices on awesome products; super fast shipping; I highly recommend this online store!
"Easy, quick, fast loved my item and loved the quick shipping"
"Exactly as described.  Very fast shipping. Good, quality clothing. Thanks"
"I am highly recommend this store, very good quality and excellent attitude to the customers"
Got my shoes quickly and they were good quality
The service is outstanding and the clothing is wonderful. You can trust these people!
"always on time, great quality!!"
"A great shopping experience, as usual.  Your sales are amazing.  Thanks."
"Nice clothes, nice store, nice customer service! Will be coming back!"
Superb quality and fantastic service (e.g. quick shipment turnaround).
<-2
Quality shorts. Easy exchange
I initally gave a 5 Star review but this rating system is to difficult so I chaged it to worst rating
They advertise the wrong color for their golden brown timberland pro boots. Aka they lie to their customers. Extremely disappointed.
